RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2005,Drafted?,Draft Pick,Draft Year
1,Keydren (Keekee) Clark,G,28,38.7,25.8,8.2,20.3,40.6,3.9,10.6,36.7,5.4,6.5,83.5,4.1,4.1,,,,,,
2,Taylor Coppenrath,F,31,36.4,25.1,8.7,16.9,51.7,0.3,1.1,27.3,7.3,9.5,76.6,8.9,1.9,,,,,,
3,Ronnie Price,G,28,37.2,24.3,8.2,19.1,42.7,2.9,8.0,35.9,5.1,6.4,78.9,4.2,3.0,,,,,,
4,Juan Mendez,F,30,34.5,23.5,7.4,15.6,47.1,1.3,4.3,30.5,7.5,9.2,81.5,10.6,1.3,,,,,,
5,Rob Monroe,G,26,39.1,22.7,6.7,16.3,40.9,2.8,7.9,35.0,6.6,7.7,85.9,3.2,6.5,,,,,,
6,Bo Lester McCalebb,G,30,34.9,22.6,8.7,18.1,48.0,0.8,3.2,26.0,4.4,7.8,56.7,4.3,3.7,,,,,,
7,Ike Diogu,F-C,32,36.4,22.6,7.2,12.4,57.5,0.6,1.4,40.0,7.8,9.7,79.7,9.8,1.3,Yes,9.0,2005.0,Yes,9.0,2005.0
8,Tim Smith,G,29,35.9,22.2,8.4,20.0,42.3,2.0,5.3,38.1,3.3,4.4,75.6,4.2,4.2,,,,,,
9,J.J. Barea,G,30,33.2,22.2,7.8,18.5,41.9,2.3,7.1,32.1,4.4,5.6,78.4,4.3,7.3,,,,,,
10,JJ Redick,F,33,37.3,21.8,6.1,15.0,40.8,3.7,9.1,40.3,5.9,6.3,93.8,3.3,2.6,,,,,,
11,Ryan Gomes,F,31,37.5,21.6,8.0,16.1,49.6,1.7,4.4,38.0,4.0,5.2,77.0,8.2,3.2,Yes,50.0,2005.0,Yes,50.0,2005.0
12,Darshan Luckey,G,28,35.5,21.5,7.6,16.0,47.3,1.4,3.5,39.8,5.0,6.0,82.7,5.3,1.3,,,,,,
13,Hakim Warrick,F,34,37.5,21.4,7.4,13.6,54.8,0.3,0.9,29.0,6.2,9.1,68.1,8.6,1.5,Yes,19.0,2005.0,Yes,19.0,2005.0
14,Steven Smith,F,39,39.6,21.0,7.4,16.6,44.5,1.3,4.0,31.2,4.9,6.2,79.8,8.3,2.1,,,,,,
15,Daryll Hill,G,27,38.0,20.7,7.4,17.8,41.9,1.9,5.3,35.7,4.0,5.2,76.4,3.3,3.5,,,,,,
16,Nick Fazekas,F,32,31.5,20.7,7.0,13.9,50.2,1.0,3.2,32.7,5.7,7.3,78.9,9.4,0.9,Yes,34.0,2007.0,,,
17,Mike Harris,F,31,32.5,20.6,7.7,12.7,60.8,0.2,0.9,24.1,4.9,6.1,80.3,11.7,1.3,,,,,,
18,Seamus Boxley,F,28,36.6,20.6,7.3,12.4,59.2,0.5,1.3,36.1,5.5,8.0,68.0,8.1,2.5,,,,,,
19,Omar Thomas,F,35,32.1,20.5,7.1,13.8,51.2,0.4,0.9,40.6,5.9,7.0,84.5,6.7,1.5,,,,,,
20,Paul Millsap,F,29,36.6,20.4,7.8,13.5,57.5,0.0,0.0,0.0,4.9,8.2,60.1,12.4,1.0,Yes,47.0,2006.0,,,
21,Andrew Bogut,C,35,35.0,20.4,8.0,12.9,62.0,0.3,0.7,36.0,4.1,5.9,69.2,12.2,2.3,Yes,1.0,2005.0,Yes,1.0,2005.0
22,Wayne Simien,F,26,34.3,20.3,7.3,13.3,55.2,0.2,0.5,28.6,5.5,6.7,81.6,11.0,1.4,Yes,29.0,2005.0,Yes,29.0,2005.0
23,Dainmon Gonner,F,27,37.0,20.3,7.2,15.9,45.5,1.5,4.3,35.7,4.3,6.3,68.6,6.9,2.3,,,,,,
24,Tiras Wade,G,31,37.2,20.3,6.9,14.9,46.4,2.5,6.4,38.9,3.9,4.7,82.3,6.1,1.3,,,,,,
25,Elton Nesbitt,G,31,31.5,20.2,6.2,15.6,40.0,3.0,8.2,36.4,4.7,5.6,84.0,3.7,2.6,,,,,,
26,John Cox,G-F,31,36.9,20.0,6.8,16.5,41.4,2.5,6.8,36.5,3.9,5.3,72.7,4.2,2.5,,,,,,
