RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2006,Drafted?,Draft Pick,Draft Year
1,Adam Morrison,F,33,36.5,28.1,9.3,18.7,49.6,2.2,5.2,42.8,7.3,9.4,77.2,5.5,1.8,Yes,3.0,2006.0,Yes,3.0,2006.0
2,JJ Redick,F,36,37.1,26.8,8.4,17.9,47.0,3.9,9.2,42.1,6.1,7.1,86.3,2.0,2.6,,,,,,
3,Keydren (Keekee) Clark,G,32,38.8,26.3,8.5,21.7,39.3,3.3,10.1,32.6,5.9,6.6,89.2,4.1,4.4,,,,,,
4,Gary Neal,G,17,35.3,26.1,8.1,18.2,44.5,3.6,9.0,40.5,6.2,7.8,80.3,3.9,2.9,,,,,,
5,Andre Collins,G,28,38.1,26.1,9.1,22.1,41.4,4.2,11.5,36.6,3.6,4.0,90.2,3.6,4.7,,,,,,
6,Brion Rush,G,21,34.8,25.8,9.0,22.0,40.9,2.6,8.2,31.2,5.2,6.2,83.2,7.0,3.4,,,,,,
7,Quincy Douby,G,33,36.7,25.4,8.7,18.8,46.2,3.5,8.8,40.1,4.5,5.3,84.7,4.3,3.1,Yes,19.0,2006.0,Yes,19.0,2006.0
8,Steve Burtt,G,31,35.6,25.2,8.3,18.7,44.6,3.1,7.6,40.7,5.4,6.6,82.4,3.3,2.5,,,,,,
9,Rodney Stuckey,G,30,33.0,24.2,8.3,17.0,49.0,1.8,4.9,37.2,5.7,7.5,76.0,4.8,4.1,Yes,15.0,2007.0,,,
10,Alan Daniels,F,31,35.1,23.5,8.1,18.5,43.6,2.4,8.0,30.4,5.0,7.5,66.5,6.7,3.0,,,,,,
11,Trey Johnson,G,32,34.8,23.5,8.0,17.5,45.5,2.1,4.8,44.1,5.4,7.3,75.0,4.8,2.3,,,,,,
12,Whit Holcomb-Faye,G,29,38.2,23.1,7.0,17.6,39.5,2.9,8.6,33.5,6.3,7.8,80.9,2.9,4.0,,,,,,
13,Larry Blair,G,30,36.7,22.6,7.8,19.3,40.5,2.1,6.0,35.6,4.9,6.1,80.3,4.7,2.7,,,,,,
14,Roy Booker,G,27,35.7,22.0,6.6,18.7,35.3,2.7,8.6,31.3,6.1,7.4,82.5,4.8,1.7,,,,,,
15,Tim Smith,G,28,37.7,22.0,8.5,18.9,44.8,1.5,4.5,32.8,3.6,4.9,73.0,4.5,4.5,,,,,,
16,Morris Almond,F,28,32.3,21.9,8.0,16.0,50.0,1.7,3.9,44.4,4.1,5.2,79.5,5.8,1.1,Yes,25.0,2007.0,,,
17,Nick Fazekas,F,33,31.8,21.8,8.1,15.4,52.9,0.9,3.2,29.0,4.7,5.5,84.6,10.4,2.1,Yes,34.0,2007.0,,,
18,Elton Nesbitt,G,30,32.0,21.7,7.0,16.6,42.4,3.4,8.8,39.0,4.2,5.2,80.3,3.5,3.0,,,,,,
19,J.J. Barea,G,29,33.6,21.0,7.2,18.0,40.0,2.3,7.8,29.1,4.3,5.7,76.4,4.4,8.4,,,,,,
20,Caleb Green,F,33,32.2,20.8,6.8,12.9,52.7,0.1,0.3,30.0,7.1,9.3,76.3,8.8,1.6,,,,,,
21,Kenny Adeleke,F,28,35.0,20.7,8.0,13.5,59.2,0.0,0.0,0.0,4.8,8.0,59.4,13.1,0.6,,,,,,
22,Jarrius Jackson,G,32,38.4,20.5,6.8,15.5,43.5,2.3,5.1,44.8,4.8,5.8,81.3,4.1,2.9,,,,,,
23,Randy Foye,G,33,34.7,20.5,6.8,16.7,41.1,2.7,7.7,35.0,4.1,5.2,79.1,5.8,3.0,Yes,7.0,2006.0,Yes,7.0,2006.0
24,Leon Powe,F,27,35.3,20.5,6.6,13.3,49.6,0.1,0.3,33.3,7.2,10.0,71.9,10.1,1.4,Yes,49.0,2006.0,Yes,49.0,2006.0
25,Quinton Day,G,27,38.4,20.3,6.9,17.0,40.4,2.7,7.3,37.2,3.8,4.7,81.1,3.6,4.8,,,,,,
26,Brandon Roy,G,33,31.7,20.2,6.9,13.6,50.8,1.2,2.9,40.2,5.2,6.4,81.0,5.6,4.1,Yes,6.0,2006.0,Yes,6.0,2006.0
27,John Bowler,F,28,33.5,20.1,6.8,12.3,54.9,0.1,0.3,28.6,6.5,9.0,72.3,10.8,2.5,,,,,,
28,Yemi Nicholson,C,31,33.5,19.9,7.7,12.7,60.3,0.0,0.0,0.0,4.5,6.0,74.9,10.9,0.9,,,,,,
29,Dan Oppland,F,29,34.0,19.8,8.0,15.7,50.8,1.2,3.4,35.4,2.6,4.2,62.8,8.0,1.9,,,,,,
30,Bryant McAllister,G,26,33.6,19.7,6.2,14.5,42.3,2.0,5.3,37.4,5.4,6.7,81.0,3.5,4.8,,,,,,
31,Steven Smith,F,28,36.0,19.7,7.4,15.3,48.6,0.9,2.8,33.8,3.9,5.0,77.3,7.9,2.5,,,,,,
31,Thomas Gardner,G,28,34.2,19.7,6.6,15.5,42.9,3.4,8.5,39.7,3.0,4.2,72.0,3.2,1.6,,,,,,
33,Paul Millsap,F,33,34.1,19.6,7.8,13.7,57.1,0.2,0.4,35.7,3.8,6.2,62.3,13.3,1.1,Yes,47.0,2006.0,Yes,47.0,2006.0
34,Curtis Stinson,G,30,35.6,19.4,7.5,16.4,45.5,1.4,4.1,33.9,3.1,4.7,66.4,5.2,5.5,,,,,,
35,Bruce Price,G,6,36.5,19.3,4.7,11.3,41.2,1.7,5.3,31.3,8.3,11.2,74.6,3.5,5.8,,,,,,
36,Kevin Pittsnogle,C,33,36.0,19.3,7.0,14.7,47.6,2.8,6.9,40.1,2.5,3.0,85.7,5.5,1.2,,,,,,
37,Maurice Ager,G,34,34.4,19.3,6.6,14.6,45.7,2.4,6.5,37.6,3.6,4.7,76.1,4.1,2.5,Yes,28.0,2006.0,Yes,28.0,2006.0
38,J.P. Batista,F-C,33,32.6,19.3,7.1,12.0,58.9,0.1,0.2,37.5,5.0,6.0,83.3,9.4,1.4,,,,,,
39,Obie Trotter,G,26,34.0,19.3,6.5,15.6,41.9,2.5,6.9,35.8,3.7,4.8,77.0,3.3,4.4,,,,,,
40,Kyle Hines,F,30,34.0,19.3,8.0,12.8,62.2,0.1,0.4,18.2,3.3,5.9,55.1,8.2,1.9,,,,,,
41,Quin Humphrey,G,28,36.9,19.2,6.8,13.6,49.6,1.8,4.8,37.3,3.9,5.3,73.8,8.3,2.6,,,,,,
42,Kibwe Trim,F-C,28,32.6,19.2,6.9,11.2,61.8,0.0,0.0,0.0,5.3,7.9,67.4,8.6,0.6,,,,,,
42,Calvin Wooten,G,28,33.2,19.2,6.7,15.8,42.6,3.4,8.7,39.1,2.4,3.0,79.5,2.5,2.3,,,,,,
44,Blake Schilb,G,30,34.8,19.1,6.4,13.7,46.6,2.3,6.0,37.8,4.1,4.9,83.0,5.2,3.9,,,,,,
