RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2007,Drafted?,Draft Pick,Draft Year
1,Reggie Williams,F,33,32.4,28.1,10.2,19.3,53.1,2.3,7.2,31.9,5.3,8.1,65.9,8.0,4.4,,,,,,
2,Trey Johnson,G,35,37.8,27.1,8.9,21.5,41.4,2.3,6.8,33.3,7.0,9.5,74.3,4.5,2.6,,,,,,
3,Morris Almond,F,32,33.4,26.4,8.2,17.0,48.3,2.4,5.3,45.6,7.5,8.9,84.6,6.6,1.2,Yes,25.0,2007.0,Yes,25.0,2007.0
4,Kevin Durant,G-F,35,35.9,25.8,8.7,18.5,47.3,2.3,5.8,40.4,6.0,7.3,81.6,11.1,1.3,Yes,2.0,2007.0,Yes,2.0,2007.0
5,Gary Neal,G,32,36.5,25.3,8.3,18.7,44.6,2.9,8.7,33.5,5.7,6.8,83.6,4.2,3.5,,,,,,
6,Bo Lester McCalebb,G,31,34.5,25.0,9.3,19.4,47.8,0.8,2.5,33.3,5.7,8.0,71.0,6.8,3.3,,,,,,
7,Rodney Stuckey,G,29,33.3,24.6,7.8,17.3,45.3,1.5,5.6,26.7,7.4,8.8,84.6,4.7,5.5,Yes,15.0,2007.0,Yes,15.0,2007.0
8,Gerald Brown,G,29,35.1,22.2,7.1,16.0,44.1,2.0,5.8,34.3,6.0,8.1,74.8,5.0,2.7,,,,,,
9,Stephen Curry,G,34,30.9,21.5,7.1,15.4,46.3,3.6,8.8,40.8,3.6,4.3,85.5,4.6,2.8,Yes,7.0,2009.0,,,
10,Jaycee Carroll,G,35,35.9,21.3,7.3,13.9,52.7,2.4,5.5,43.2,4.3,4.9,88.8,6.3,1.8,,,,,,
11,Alex Harris,G,29,35.1,21.1,6.6,13.8,47.6,2.4,5.3,45.8,5.4,6.9,78.6,4.8,2.1,,,,,,
12,Adrian Banks,G,33,36.9,21.1,7.0,14.2,49.6,2.9,6.2,47.5,4.1,5.5,73.2,4.4,1.9,,,,,,
13,Arizona 'AZ' Reid,F,32,33.2,21.0,8.9,17.5,50.9,0.6,1.8,34.5,2.5,3.8,65.9,9.5,1.9,,,,,,
14,Kyle Hines,F,29,32.0,20.9,8.0,14.5,55.5,0.0,0.2,16.7,4.8,7.9,60.0,9.0,0.9,,,,,,
15,Chris Lofton,G,31,29.6,20.8,6.6,13.8,47.9,3.4,8.2,41.9,4.2,5.1,81.1,3.1,1.7,,,,,,
16,Loren Stokes,G,33,37.9,20.6,7.3,15.2,47.8,0.9,2.5,37.3,5.1,7.6,67.1,5.6,3.0,,,,,,
17,Charron Fisher,G-F,27,33.5,20.6,7.0,15.3,45.6,1.4,3.8,36.3,5.3,6.9,76.8,8.0,1.1,,,,,,
18,Adam Haluska,G,31,34.5,20.5,6.1,15.0,40.8,2.9,8.0,36.3,5.4,6.2,87.0,4.6,2.6,Yes,43.0,2007.0,Yes,43.0,2007.0
19,Caleb Green,F,34,34.8,20.5,6.1,12.1,50.1,0.2,0.5,35.3,8.2,10.8,76.0,9.3,2.6,,,,,,
20,DeAndre Rice,G,21,34.2,20.5,6.6,13.2,50.2,3.2,6.8,47.9,4.0,5.0,79.2,3.5,2.3,,,,,,
