RK,Unnamed: 1,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2010,Drafted?,Draft Pick,Draft Year
1,Aubrey Coleman,G,35,36.9,25.6,8.7,20.5,42.5,1.5,4.6,31.7,6.7,9.1,73.7,7.4,2.6,2.7,0.2,2.3,,,,,,
2,Adnan Hodzic,F,30,32.3,22.7,9.0,14.8,60.4,0.0,0.0,0.0,4.8,7.1,67.6,9.1,0.8,0.5,0.4,2.7,,,,,,
3,Marquez Haynes,G,30,33.3,22.6,7.2,14.8,48.3,2.1,5.1,40.9,6.2,8.3,74.6,4.3,3.7,1.5,0.3,3.6,,,,,,
4,Devan Downey,G,31,34.0,22.5,7.6,19.1,40.0,2.2,6.5,34.2,5.0,6.0,83.4,3.3,3.5,2.7,0.0,3.5,,,,,,
4,Adrian Oliver,G,31,36.1,22.5,7.4,17.0,43.7,1.6,4.0,40.8,6.1,6.8,88.7,5.3,2.9,1.0,0.5,3.2,,,,,,
6,James Anderson,G,33,34.1,22.3,6.8,15.0,45.7,2.2,6.6,34.1,6.3,7.8,81.0,5.8,2.4,1.4,0.6,2.4,Yes,20.0,2010.0,Yes,20.0,2010.0
7,Jimmer Fredette,G,34,31.1,22.1,6.6,14.4,45.8,2.3,5.1,44.0,6.6,7.4,89.2,3.1,4.7,1.2,0.1,2.7,Yes,10.0,2011.0,,,
8,Landry Fields,G-F,32,36.3,22.0,7.8,15.8,49.0,0.9,2.7,33.7,5.6,8.0,69.6,8.8,2.8,1.6,0.8,2.6,Yes,39.0,2010.0,Yes,39.0,2010.0
9,Luke Babbitt,F,34,37.1,21.9,7.4,14.8,50.0,1.2,3.0,41.6,5.9,6.4,91.7,8.9,2.1,1.0,0.8,2.4,Yes,16.0,2010.0,Yes,16.0,2010.0
10,Luke Harangody,F,30,33.0,21.8,8.1,16.9,48.1,0.8,2.7,30.9,4.7,5.9,78.7,9.1,1.6,0.5,0.7,1.8,Yes,52.0,2010.0,Yes,52.0,2010.0
11,Michael Deloach,G,30,35.9,21.7,7.9,15.8,50.2,1.2,3.8,31.3,4.7,6.9,67.3,4.4,3.3,2.6,0.1,4.1,,,,,,
12,David Kool,G,33,35.0,21.6,6.7,14.9,44.9,1.9,5.3,35.8,6.3,7.1,89.7,4.1,2.6,1.8,0.0,2.2,,,,,,
13,Reggie Holmes,G,37,33.1,21.5,6.1,15.8,38.9,2.7,7.6,36.1,6.5,7.9,82.0,4.3,0.8,1.5,0.2,2.0,,,,,,
14,Dominique Jones,G,33,37.1,21.4,6.7,14.9,45.0,1.6,5.1,31.1,6.3,8.5,74.1,6.1,3.6,1.7,0.6,2.9,Yes,25.0,2010.0,Yes,25.0,2010.0
15,Artsiom Parakhouski,C,31,34.7,21.4,8.1,13.9,58.1,0.1,0.4,25.0,5.1,9.1,56.2,13.4,1.1,0.6,2.1,2.4,,,,,,
16,Omar Samhan,C,34,32.3,21.3,8.3,15.0,55.3,0.0,0.0,0.0,4.7,6.5,72.7,10.9,1.0,0.4,2.9,2.1,,,,,,
17,Anatoly Bose,G-F,30,35.4,21.1,6.5,14.7,43.9,2.9,7.5,38.4,5.3,7.1,74.3,6.0,2.0,1.1,0.3,2.8,,,,,,
18,Chris Harris,G,30,34.9,21.1,6.1,17.1,35.7,2.9,8.6,34.2,5.9,6.8,87.3,2.5,1.9,2.0,0.1,2.9,,,,,,
19,Denzel Bowles,F,25,32.8,20.8,8.1,13.7,59.4,0.0,0.0,0.0,4.6,6.9,66.3,9.2,2.5,0.5,1.4,3.4,,,,,,
20,Charles Jenkins,G,34,36.3,20.6,6.9,15.6,44.3,1.9,4.5,40.9,5.0,6.2,80.5,4.5,3.9,1.8,0.6,3.2,Yes,44.0,2011.0,,,
21,Jordan Crawford,G,35,32.8,20.5,7.4,16.1,46.2,2.3,5.8,39.1,3.4,4.4,77.3,4.7,2.9,1.3,0.2,2.4,Yes,27.0,2010.0,Yes,27.0,2010.0
22,Jeremy Hazell,G,32,31.7,20.4,6.9,16.3,42.3,3.1,9.1,33.8,3.6,4.8,75.8,3.5,1.5,1.5,0.2,1.2,,,,,,
23,Evan Turner,G-F,31,35.8,20.4,7.6,14.7,51.9,0.6,1.8,36.4,4.5,5.9,75.8,9.2,6.0,1.7,0.9,4.4,Yes,2.0,2010.0,Yes,2.0,2010.0
24,Donald Sims,G,37,34.4,20.4,6.2,13.5,45.7,3.3,7.8,42.7,4.7,5.0,95.1,3.2,2.3,0.9,0.0,2.4,,,,,,
25,Jahmar Young,G,34,34.8,20.3,6.7,14.6,45.9,2.1,5.7,37.4,4.7,5.6,83.8,3.5,3.1,0.8,0.2,2.7,,,,,,
26,Malcolm Delaney,G,33,35.7,20.2,5.7,14.6,38.7,1.9,6.2,30.6,7.0,8.3,84.2,3.7,4.5,1.2,0.1,3.0,,,,,,
27,Damian Lillard,G,31,34.3,19.9,6.0,13.8,43.1,2.7,6.9,39.3,5.3,6.2,85.3,4.0,3.6,1.1,0.1,2.4,Yes,6.0,2012.0,,,
28,Kevin Foster,G,6,31.5,19.8,6.0,18.5,32.4,3.7,11.8,31.0,4.2,5.0,83.3,2.8,2.8,2.2,0.2,3.5,,,,,,
28,Robert Glenn,F,36,31.1,19.8,7.2,12.4,58.1,0.1,0.6,21.7,5.3,7.0,75.5,6.7,1.7,1.2,1.4,3.1,,,,,,
30,Ricky Harris,G,31,31.2,19.8,7.0,16.3,42.7,2.2,7.3,30.2,3.6,5.0,72.9,3.5,2.9,1.3,0.1,3.6,,,,,,
31,Ben Smith,G,33,37.5,19.8,5.7,13.9,40.8,2.5,6.8,35.8,6.0,7.7,77.9,3.2,3.6,2.0,0.1,2.0,,,,,,
32,Xavier Silas,G,25,31.6,19.7,5.6,14.7,38.3,2.1,6.5,32.1,6.4,7.8,81.1,5.3,1.6,0.8,0.5,2.4,,,,,,
33,Kevin Palmer,G-F,32,32.9,19.7,6.3,13.7,46.3,1.6,5.0,32.1,5.4,7.2,76.0,5.4,2.8,2.4,0.3,4.3,,,,,,
34,Jamine Peterson,F,31,30.4,19.6,7.5,16.1,46.6,1.6,4.8,34.5,3.0,5.3,56.1,10.2,1.2,1.3,0.8,1.8,,,,,,
34,Klay Thompson,G,31,35.4,19.6,6.5,15.6,41.2,2.5,6.7,36.4,4.3,5.4,80.1,5.1,2.3,1.4,0.7,3.4,Yes,11.0,2011.0,,,
36,Greivis Vasquez,G,33,33.9,19.6,6.7,15.5,42.9,2.1,5.8,35.9,4.2,4.9,85.7,4.6,6.3,1.7,0.4,3.4,,,,,,
37,LaceDarius Dunn,G,36,32.6,19.6,6.4,14.3,45.0,3.2,7.7,41.9,3.5,4.1,85.7,4.8,1.9,1.4,0.3,2.5,,,,,,
38,Andrew Goudelock,G,34,35.6,19.4,7.4,16.3,45.1,2.9,7.3,39.3,1.8,2.2,82.4,4.4,3.9,1.1,0.4,2.0,Yes,46.0,2011.0,,,
39,Jacob Pullen,G,37,31.6,19.3,5.4,13.0,41.9,3.0,7.5,39.6,5.5,6.7,82.2,2.6,3.4,1.8,0.1,2.5,,,,,,
40,Cameron Jones,G,28,35.2,19.3,7.3,14.4,50.2,1.2,2.8,42.3,3.6,4.9,73.9,4.6,2.8,1.3,0.0,3.1,,,,,,
41,Quincy Pondexter,F,36,32.3,19.3,6.8,12.9,52.8,0.5,1.4,35.3,5.2,6.3,82.7,7.4,1.8,1.3,0.6,1.9,Yes,26.0,2010.0,Yes,26.0,2010.0
42,John Holland,F,35,34.4,19.2,6.1,13.4,45.9,1.7,4.8,35.7,5.2,6.1,85.1,6.1,1.1,1.6,0.3,2.1,,,,,,
43,Anthony Johnson,G,32,34.9,19.2,5.8,11.7,49.2,1.4,3.2,44.6,6.3,7.2,87.4,3.2,3.0,0.8,0.1,2.8,,,,,,
44,Corey Hassan,G,28,34.4,19.2,6.7,15.5,43.0,3.2,8.4,38.5,2.6,3.8,69.5,7.6,2.1,1.4,0.0,2.8,,,,,,
45,CJ McCollum,G,33,31.9,19.1,6.2,13.4,45.9,2.2,5.2,42.1,4.6,5.7,81.0,5.0,2.4,1.3,0.2,2.0,Yes,10.0,2013.0,,,
46,Andrew Gonzalez,F,32,33.9,18.9,6.1,13.3,45.5,1.1,3.8,29.8,5.7,7.0,80.9,5.8,1.2,0.9,0.2,3.4,,,,,,
47,Cory Higgins,G,31,33.4,18.9,6.2,12.3,50.5,1.0,2.9,35.6,5.5,6.5,83.3,3.9,2.4,1.9,0.4,2.3,,,,,,
48,Nick Barbour,G,29,28.2,18.9,5.9,13.9,42.5,2.5,6.3,40.1,4.6,6.0,76.3,3.1,1.1,1.3,0.3,2.5,,,,,,
49,Kyle Roemer,G-F,29,34.4,18.8,6.6,15.4,43.0,2.6,7.1,36.9,2.9,3.7,79.2,5.7,1.4,1.5,0.2,2.7,,,,,,
50,Charles Garcia,F,31,26.0,18.7,6.1,12.9,47.4,0.4,1.5,27.7,6.0,9.8,61.5,8.3,1.0,0.5,0.8,4.0,,,,,,
51,Jerome Randle,G,35,35.0,18.6,6.0,13.1,45.7,2.6,6.5,40.4,4.0,4.3,93.3,2.1,4.3,0.7,0.0,3.5,,,,,,
52,Dominic Waters,G,32,33.7,18.6,6.0,12.4,48.5,2.2,5.2,42.4,4.3,4.8,90.2,2.3,4.7,0.8,0.0,3.5,,,,,,
53,Keion Bell,G,31,31.5,18.5,6.3,14.6,42.7,1.3,3.6,35.7,4.7,6.3,75.0,5.1,3.2,1.3,0.3,3.9,,,,,,
54,Talor Battle,G,31,37.0,18.5,6.2,14.8,42.0,2.3,6.5,35.0,3.8,5.4,70.5,5.3,4.2,1.1,0.1,2.3,,,,,,
55,Rodney Green,G,30,37.1,18.5,6.8,16.4,41.5,1.2,4.4,26.5,3.7,5.3,70.3,5.1,4.3,1.6,0.2,4.0,,,,,,
56,Rodney Pierce,G,29,34.0,18.4,6.5,15.8,41.0,2.0,5.6,35.4,3.5,4.3,81.0,3.4,3.2,1.5,0.2,2.3,,,,,,
56,Austin Kenon,G,29,31.3,18.4,5.6,14.3,38.8,2.8,8.3,33.1,4.6,5.4,84.2,3.0,3.6,1.4,0.1,2.5,,,,,,
58,Kyle Gibson,G,31,34.4,18.4,5.3,13.3,39.7,2.0,6.0,32.8,5.9,7.1,84.0,3.9,3.0,0.9,0.1,2.4,,,,,,
59,Dior Lowhorn,F,29,28.8,18.4,6.5,13.9,47.0,0.8,2.7,28.2,4.6,5.7,81.1,6.7,0.6,0.7,0.6,2.0,,,,,,
60,Alex Young,G-F,36,31.6,18.3,6.7,13.8,48.8,2.0,5.1,39.6,2.9,4.3,67.1,4.5,1.2,1.5,0.6,2.2,,,,,,
61,Scottie Reynolds,G,33,30.3,18.2,5.5,12.0,45.7,2.1,5.4,38.5,5.2,6.2,83.8,2.7,3.3,1.5,0.1,2.6,,,,,,
62,Dana Smith,G-F,31,31.8,18.2,6.3,13.2,47.8,1.1,3.1,34.0,4.6,6.9,66.4,7.2,2.5,1.0,0.5,3.0,,,,,,
62,Jawan Carter,G,31,39.2,18.2,5.2,13.3,38.7,2.4,7.3,32.6,5.5,6.8,80.7,3.3,4.9,1.3,0.0,3.0,,,,,,
64,John Shurna,F,34,36.4,18.2,6.4,13.9,45.9,2.3,6.5,35.5,3.1,4.1,77.5,6.4,2.6,0.8,0.9,2.0,,,,,,
65,Jon Scheyer,G,40,36.8,18.2,5.3,13.3,39.9,2.8,7.2,38.3,4.9,5.5,87.8,3.6,4.9,1.6,0.3,1.6,,,,,,
66,Vlad Moldoveanu,F,22,32.4,18.1,5.7,12.7,45.2,2.2,5.6,38.7,4.5,5.6,79.8,6.5,2.0,0.7,0.4,2.4,,,,,,
67,Manny Harris,G,31,36.1,18.1,5.8,13.9,42.1,1.5,5.0,30.8,4.9,6.1,80.0,6.0,4.1,1.8,0.4,2.8,,,,,,
68,Lazar Hayward,F,34,32.3,18.1,6.5,15.1,43.2,1.9,5.5,34.9,3.1,3.7,84.3,7.5,1.5,1.9,0.5,2.0,Yes,30.0,2010.0,Yes,30.0,2010.0
69,Garrison Johnson,G,32,33.7,18.1,5.4,14.5,37.0,2.3,6.5,35.1,5.0,6.9,73.2,4.5,1.5,1.0,0.5,2.2,,,,,,
70,Orlando Johnson,G,30,31.3,18.0,5.9,12.2,48.1,1.5,3.9,39.7,4.7,6.7,70.3,5.4,2.3,0.7,0.6,2.7,Yes,36.0,2012.0,,,
70,Chris Gaston,F,28,35.0,18.0,6.8,15.1,44.9,0.1,0.8,9.1,4.4,6.5,67.0,11.4,1.5,0.9,1.8,4.5,,,,,,
72,Damion James,G-F,34,30.3,18.0,6.2,12.3,50.1,1.1,2.8,38.3,4.6,6.8,67.4,10.3,1.0,1.7,1.2,2.0,Yes,24.0,2010.0,Yes,24.0,2010.0
73,Courtney Fortson,G,18,33.3,17.9,5.4,14.9,36.1,1.4,4.4,31.3,5.8,7.6,75.9,5.2,5.7,1.4,0.2,5.1,,,,,,
74,Elliot Williams,G,34,33.3,17.9,5.2,11.4,45.9,1.8,4.8,36.6,5.7,7.5,75.8,4.0,3.8,1.3,0.1,2.9,Yes,22.0,2010.0,Yes,22.0,2010.0
75,Randy Culpepper,G,33,33.3,17.9,6.1,12.9,47.2,2.5,6.8,36.8,3.3,4.5,73.5,2.8,1.9,1.8,0.3,1.8,,,,,,
76,Tyren Johnson,F,30,36.1,17.9,6.8,13.7,50.0,1.0,2.8,36.1,3.3,4.7,69.0,8.0,3.3,1.8,1.5,3.6,,,,,,
77,Travis Taylor,F,24,34.6,17.8,6.8,12.5,54.2,0.0,0.2,0.0,4.2,6.5,65.2,7.6,1.6,1.0,0.8,4.1,,,,,,
78,Kevin Anderson,G,35,37.1,17.8,6.6,14.4,45.6,1.1,3.2,33.9,3.5,4.3,81.6,3.4,2.7,1.7,0.3,2.4,,,,,,
79,Donald Sloan,G,34,33.2,17.8,5.9,13.2,44.4,1.4,3.8,36.4,4.6,6.0,77.0,3.6,2.3,0.6,0.1,2.4,,,,,,
80,James Florence,G,31,33.1,17.7,5.6,13.8,40.5,1.8,5.8,31.5,4.7,6.4,74.6,3.1,4.6,1.7,0.4,3.7,,,,,,
81,Rico Pickett,G,29,31.4,17.7,6.9,15.8,44.0,1.7,5.0,33.3,2.2,3.1,71.1,3.9,1.0,1.3,0.2,2.0,,,,,,
82,Trey Thompkins,F,31,31.0,17.7,6.7,13.8,48.3,0.7,2.0,37.7,3.6,4.7,76.2,8.3,1.9,1.0,1.2,2.9,Yes,37.0,2011.0,,,
83,Trenton Marshall,G-F,26,31.4,17.7,5.9,14.2,41.6,2.2,6.0,36.8,3.7,4.6,79.2,5.3,2.4,1.7,0.5,2.0,,,,,,
84,Zack Rosen,G,28,37.1,17.7,5.0,11.4,43.9,2.5,6.0,42.5,5.1,6.0,86.2,3.3,4.4,1.1,0.0,3.3,,,,,,
85,Kyle Singler,F,40,35.9,17.7,5.7,13.8,41.5,2.1,5.3,39.9,4.2,5.2,79.8,7.0,2.4,1.0,0.8,2.0,Yes,33.0,2011.0,,,
