RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2013,Drafted?,Draft Pick,Draft Year
1,Erick Green,G,32,36.4,25.0,8.2,17.2,47.5,1.9,4.9,38.9,6.8,8.3,81.6,4.0,3.8,1.3,0.2,2.2,Yes,46.0,2013.0,Yes,46.0,2013.0
2,CJ McCollum,G,12,31.0,23.9,8.0,16.2,49.5,2.8,5.3,51.6,5.2,6.1,84.9,5.0,2.9,1.4,0.3,2.7,Yes,10.0,2013.0,Yes,10.0,2013.0
3,Doug McDermott,F,36,31.6,23.2,7.9,14.4,54.8,2.1,4.4,49.0,5.3,6.0,87.5,7.7,1.6,0.2,0.1,2.6,Yes,11.0,2014.0,,,
4,Lamont Jones,G,34,36.6,22.6,7.2,16.5,43.9,1.6,5.2,31.5,6.5,7.3,88.8,3.0,3.4,1.2,0.1,3.4,,,,,,
5,Nate Wolters,G,33,38.1,22.3,7.3,15.1,48.5,1.9,5.1,37.9,5.7,7.0,81.3,5.6,5.8,1.7,0.1,2.3,Yes,38.0,2013.0,Yes,38.0,2013.0
6,Travis Bader,G,33,38.2,22.1,6.2,15.8,39.4,4.2,10.9,38.6,5.4,6.1,88.6,2.9,1.0,0.9,0.1,1.4,,,,,,
7,Darren White,G,11,33.7,21.8,8.5,16.5,51.4,0.6,2.7,23.3,4.3,6.8,62.7,7.2,1.8,2.0,0.5,2.5,,,,,,
8,Isaiah Canaan,G,31,36.5,21.8,6.9,16.1,43.1,3.0,8.2,37.0,4.9,6.0,82.2,3.5,4.3,1.5,0.1,3.2,Yes,34.0,2013.0,Yes,34.0,2013.0
9,Tyler Haws,G,36,34.3,21.7,7.7,15.9,48.3,1.2,3.1,38.1,5.1,5.9,87.7,4.6,2.0,1.3,0.1,2.0,,,,,,
10,Kyle Vinales,G,30,38.2,21.6,7.6,18.6,41.1,2.7,7.3,36.5,3.7,4.6,80.4,2.0,3.8,1.4,0.1,3.3,,,,,,
11,Shane Gibson,G,29,32.8,21.6,7.3,16.4,44.6,3.0,7.2,41.6,4.0,4.6,87.1,4.2,1.4,1.1,0.3,3.3,,,,,,
12,Stan Okoye,F,31,32.6,21.5,7.6,16.9,45.1,1.9,5.2,36.6,4.4,6.5,66.8,9.4,2.6,1.5,0.4,3.2,,,,,,
13,Greg Gantt,G,32,36.7,21.2,7.3,17.2,42.7,2.6,6.8,38.7,3.8,4.8,79.4,4.2,1.4,0.8,0.1,2.4,,,,,,
14,James Kinney,G,14,33.9,20.6,7.8,18.7,41.6,2.4,7.4,32.7,2.6,4.0,66.1,5.5,2.6,2.4,0.1,2.8,,,,,,
15,Khalif Wyatt,G,34,33.4,20.5,6.1,14.7,41.7,2.2,7.0,31.6,6.0,7.2,83.6,2.9,4.0,1.7,0.2,3.1,,,,,,
16,Corey Hawkins,G,28,34.0,20.3,6.5,13.8,47.4,1.7,4.3,40.0,5.5,6.6,84.2,5.6,3.3,1.5,0.3,2.6,,,,,,
