Rank,"Name, Team",Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG
1.0,"Marcus Keene, Central Mich.",Jr.,2023-05-09 00:00:00,G,32,313,125,208,959,30.0
2.0,"Chris Clemons, Campbell",So.,2023-05-09 00:00:00,G,36,301,118,184,904,25.1
3.0,"Mike Daum, South Dakota St.",So.,2023-06-09 00:00:00,F,35,274,79,251,878,25.1
4.0,"Dallas Moore, North Florida",Sr.,2023-06-01 00:00:00,G,34,299,100,114,812,23.9
5.0,"Randy Onwuasor, Southern Utah",Sr.,2023-06-03 00:00:00,G,33,253,59,215,780,23.6
6.0,"Markelle Fultz, Washington",Fr.,2023-06-04 00:00:00,G,25,209,52,109,579,23.2
7.0,"Tyler Hall, Montana St.",So.,2023-06-05 00:00:00,G,32,240,120,139,739,23.1
8.0,"Alec Peters, Valparaiso",Sr.,2023-06-09 00:00:00,F,29,218,58,172,666,23.0
9.0,"Cameron Morse, Youngstown St.",Jr.,2023-06-02 00:00:00,G,31,260,76,115,711,22.9
10.0,"Rashawn Thomas, A&M-Corpus Christi",Sr.,2023-06-08 00:00:00,F,34,268,14,215,765,22.5
11.0,"Keon Johnson, Winthrop",Sr.,2023-05-07 00:00:00,G,32,221,102,171,715,22.3
12.0,"Jack Gibbs, Davidson",Sr.,6-0,G,31,215,94,161,685,22.1
13.0,"Jonathan Stark, Murray St.",Jr.,6-0,G,33,249,108,117,723,21.9
14.0,"T.J. Williams, Northeastern",Sr.,2023-06-03 00:00:00,G,30,202,36,202,642,21.4
15.0,"Sindarius Thornwell, South Carolina",Sr.,2023-06-05 00:00:00,G,31,195,58,215,663,21.4
16.0,"Lamond Murray Jr., Pepperdine",Sr.,2023-06-05 00:00:00,G,31,251,51,109,662,21.4
17.0,"Braylon Rayson, Central Mich.",Sr.,2023-05-09 00:00:00,G,32,209,93,168,679,21.2
18.0,"Kendrick Ray, Kennesaw St.",Sr.,2023-06-01 00:00:00,G,31,244,86,82,656,21.2
19.0,"Jeremy Senglin, Weber St.",Sr.,2023-06-02 00:00:00,G,34,233,132,121,719,21.1
20.0,"Tiwian Kendley, Morgan St.",Jr.,2023-06-05 00:00:00,G,23,139,48,158,484,21.0
21.0,"Victor Sanders, Idaho",Jr.,2023-06-05 00:00:00,G,32,206,101,157,670,20.9
22.0,"Frank Mason, Kansas",Sr.,2023-05-11 00:00:00,G,36,241,82,189,753,20.9
23.0,"Jaylon Brown, Evansville",Sr.,6-0,G,33,220,38,211,689,20.9
24.0,"Jaylen Adams, St. Bonaventure",Jr.,2023-06-05 00:00:00,G,30,168,77,206,619,20.6
25.0,"Bogdan Bliznyuk, Eastern Wash.",Jr.,2023-06-06 00:00:00,F,34,251,38,161,701,20.6
26.0,"Rob Gray, Houston",Jr.,2023-06-01 00:00:00,G,31,233,63,109,638,20.6
27.0,"Peyton Aldridge, Davidson",Jr.,2023-06-07 00:00:00,F,32,233,70,120,656,20.5
28.0,"Gian Clavell, Colorado St.",Sr.,2023-06-04 00:00:00,G,27,193,78,88,552,20.4
29.0,"Jacob Wiley, Eastern Wash.",Sr.,2023-06-07 00:00:00,F,34,265,5,159,694,20.4
30.0,"Tim Kempton, Lehigh",Sr.,2023-06-10 00:00:00,C,32,231,23,168,653,20.4
