RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2023,Drafted?,Draft Pick,Draft Year
1,Antoine Davis,G,33,37.3,28.2,9.2,22.2,41.4,4.8,11.7,41.2,5.0,5.5,90.7,3.0,3.6,1.2,0.1,3.3,,,,,,
2,Jordan Dingle,G,28,33.5,23.4,7.8,16.8,46.4,2.8,7.7,35.6,5.1,6.0,85.6,3.6,2.3,1.1,0.1,2.9,,,,,,
3,Darius McGhee,G,36,31.9,22.8,7.6,17.3,43.9,4.5,11.4,39.4,3.1,3.6,86.7,3.3,3.0,1.6,0.2,1.9,,,,,,
4,Elijah Pepper,G,31,35.5,22.5,7.4,16.5,44.9,2.2,6.8,32.2,5.5,6.7,81.6,5.9,3.4,1.6,0.2,3.5,,,,,,
5,Jordan Walker,G,33,33.5,22.3,7.0,17.4,40.3,4.1,10.8,37.8,4.2,4.9,84.6,2.8,4.2,1.2,0.0,2.8,,,,,,
6,Zach Edey,C,34,31.7,22.3,8.5,14.1,60.7,0.0,0.0,0.0,5.2,7.1,73.4,12.9,1.5,0.2,2.1,2.3,,,,,,
7,Taevion Kinsey,G,32,37.8,22.1,8.5,15.6,54.2,0.6,1.5,40.4,4.5,6.1,74.4,4.9,5.4,1.7,0.5,2.2,,,,,,
8,Kendric Davis,G,34,35.0,21.9,6.7,16.2,41.4,1.9,5.5,34.6,6.6,7.7,85.4,3.7,5.4,2.0,0.2,3.1,,,,,,
9,Max Abmas,G,34,36.1,21.9,6.9,15.7,43.6,3.5,9.4,37.3,4.6,5.1,91.9,4.4,4.0,1.1,0.2,2.0,,,,,,
10,Josh Cohen,F,31,33.7,21.8,8.3,14.2,58.5,0.0,0.0,0.0,5.2,8.0,65.6,8.3,2.5,0.9,0.9,1.8,,,,,,
11,Xavier Castaneda,G,31,33.7,21.7,5.7,13.7,41.5,3.5,9.1,39.0,6.8,7.9,86.2,4.3,2.9,1.0,0.1,2.2,,,,,,
12,James Bishop,G,32,37.7,21.6,7.5,17.5,42.9,2.0,6.7,29.9,4.6,6.0,76.6,2.3,5.2,0.8,0.3,2.9,,,,,,
13,Cam Shelton,G,31,35.6,21.4,7.8,16.0,49.1,1.8,4.7,37.9,4.0,5.6,70.3,5.4,4.3,1.8,0.2,2.5,,,,,,
14,Drew Timme,F,37,31.6,21.2,8.5,13.7,61.6,0.1,0.6,16.7,4.2,6.7,63.2,7.5,3.2,0.6,1.0,2.6,,,,,,
15,Drew Pember,F,35,33.7,20.9,5.9,12.6,46.4,1.6,4.4,37.3,7.6,9.1,83.6,9.1,2.3,0.9,2.3,3.4,,,,,,
16,Trayce Jackson-Davis,F,32,34.6,20.9,8.2,14.1,58.1,0.0,0.0,0.0,4.6,6.6,69.5,10.8,4.0,0.8,2.9,2.5,,,,,,
17,Jameer Nelson Jr,G,29,35.2,20.6,6.7,15.0,44.5,1.7,5.6,30.7,5.5,7.1,77.6,4.6,3.6,2.4,0.6,3.1,,,,,,
18,Sam Sessoms,G,32,36.5,20.5,7.5,14.7,50.9,1.8,5.0,34.8,3.8,4.7,80.1,4.3,5.0,2.0,0.1,3.9,,,,,,
19,Trey Calvin,G,32,34.4,20.3,7.8,15.9,49.2,1.7,4.3,39.0,3.1,3.5,88.3,2.9,3.7,1.3,0.3,2.8,,,,,,
20,Justin Johnson,G,31,34.3,20.3,6.7,15.1,44.1,1.0,3.2,30.3,6.0,8.8,67.9,5.1,3.0,0.8,0.1,3.8,,,,,,
21,Kris Murray,F,29,34.8,20.2,7.5,15.7,47.6,2.3,6.8,33.5,3.0,4.1,72.9,7.9,2.0,1.0,1.2,1.5,,,,,,
22,Aaron Estrada,G,31,37.2,20.2,7.7,16.2,47.8,2.3,6.1,36.8,2.5,3.0,80.9,5.5,4.3,1.5,0.2,3.1,,,,,,
23,Dalton Knecht,G,32,35.3,20.2,7.3,15.3,47.9,2.4,6.3,38.1,3.2,4.1,77.1,7.2,1.8,0.8,0.6,2.1,,,,,,
24,Andrew Taylor,G,32,36.5,20.2,7.9,19.0,41.7,2.6,7.1,36.4,1.8,2.2,80.0,4.7,4.7,2.1,0.0,3.0,,,,,,
25,Denver Jones,G,28,33.5,20.1,6.7,14.0,47.8,2.1,5.7,37.1,4.7,5.5,84.5,3.8,2.0,1.8,0.0,3.2,,,,,,
26,Jalen Wilson,F,36,35.4,20.1,6.9,16.0,43.0,1.9,5.8,33.7,4.4,5.5,79.9,8.3,2.2,0.9,0.5,2.3,,,,,,
27,Jalen Cook,G,26,34.4,19.9,7.1,15.7,45.2,2.2,6.3,34.5,3.6,4.2,84.5,2.9,4.9,1.8,0.0,2.9,,,,,,
28,Brandin Podziemski,G,32,36.0,19.9,6.9,14.4,48.3,2.5,5.8,43.8,3.5,4.5,77.1,8.8,3.7,1.8,0.5,2.3,,,,,,
29,Azuolas Tubelis,F,35,30.2,19.8,7.8,13.7,57.0,0.3,0.9,31.3,3.9,5.1,76.4,9.1,2.0,1.1,0.7,2.4,,,,,,
30,Erik Reynolds,G,33,35.1,19.6,6.2,14.5,43.0,3.0,7.9,37.9,4.2,4.8,88.5,3.1,2.5,1.3,0.4,2.2,,,,,,
31,Jalen Moore,G,29,38.0,19.6,5.7,13.2,42.7,1.3,4.8,26.4,7.0,8.4,84.0,3.8,5.6,2.3,0.1,3.4,,,,,,
32,DeMarcus Sharp,G,33,34.4,19.5,7.6,16.5,46.1,0.9,1.6,54.7,3.4,4.2,80.7,5.0,5.0,1.9,0.8,2.5,,,,,,
33,RayJ Dennis,G,35,33.9,19.5,7.6,15.6,48.4,1.5,4.1,36.6,2.9,3.7,76.9,4.3,5.8,1.5,0.2,1.9,,,,,,
34,Noah Thomasson,G,31,36.4,19.5,7.5,15.5,48.1,1.7,4.5,38.6,2.8,4.3,66.7,3.8,3.5,0.7,0.4,2.5,,,,,,
35,Ben Krikke,F,32,35.7,19.4,7.6,13.8,55.2,0.5,1.9,27.9,3.7,4.6,79.6,5.9,2.1,0.5,0.9,2.2,,,,,,
36,Isaac Jones,F,31,31.5,19.4,7.3,11.6,62.9,0.2,0.6,31.6,4.5,6.7,67.6,7.8,1.7,0.6,1.1,2.0,,,,,,
37,Jr. Clay,G,30,34.1,19.3,6.5,15.1,43.2,2.1,6.3,33.2,4.2,5.4,77.6,5.0,5.5,1.5,0.3,3.6,,,,,,
38,Jordan Brown,C,33,31.9,19.3,7.5,13.1,57.1,0.1,0.5,25.0,4.3,7.0,61.3,8.6,1.8,0.7,1.2,2.8,,,,,,
39,Emoni Bates,F,30,33.5,19.2,6.4,15.9,40.5,2.5,7.7,33.0,3.8,4.9,78.2,5.8,1.4,0.7,0.5,2.5,,,,,,
40,Jamal Mashburn Jr,G,34,33.6,19.1,6.9,16.0,42.8,1.4,3.6,38.2,4.1,5.0,81.7,3.2,2.1,0.7,0.1,1.6,,,,,,
41,Patrick Gardner,C,33,30.9,19.1,7.4,14.8,49.7,1.7,4.5,38.3,2.7,3.9,67.7,6.6,1.9,0.8,1.0,2.5,,,,,,
42,EJ Harkless,G,32,31.0,19.1,6.0,14.6,41.4,1.7,5.8,28.6,5.4,6.9,77.8,5.1,3.4,1.6,0.2,2.8,,,,,,
43,Tyler Burton,F,33,36.2,19.0,6.3,14.0,44.9,1.7,5.7,29.3,4.7,6.2,76.1,7.4,1.5,1.5,0.5,2.2,,,,,,
43,Trenton Massner,G,29,35.6,19.0,6.7,15.2,43.9,2.9,8.2,35.7,2.7,3.2,83.0,5.2,5.4,1.6,0.3,2.7,,,,,,
45,Isaiah Moore,G,34,33.5,18.9,7.9,14.9,53.0,0.2,1.2,19.5,2.9,4.0,72.6,3.3,4.6,1.3,0.2,2.9,,,,,,
46,Tyree Appleby,G,33,36.7,18.8,5.6,13.2,42.7,2.3,6.5,36.0,5.2,6.4,82.0,3.5,6.4,1.8,0.1,3.4,,,,,,
47,Ben Sheppard,G,32,34.3,18.8,6.8,14.2,47.5,2.5,6.0,41.5,2.8,4.2,68.4,5.2,2.9,1.4,0.2,2.2,,,,,,
48,Marques Warrick,G,35,34.4,18.8,6.5,15.0,43.1,2.5,6.5,38.2,3.4,4.2,81.6,2.3,2.6,1.3,0.3,2.1,,,,,,
49,Chris Ledlum,G,28,31.4,18.8,7.1,15.0,47.3,1.4,4.9,29.4,3.3,5.1,63.6,8.5,1.6,1.8,1.1,2.6,,,,,,
50,Brandon Miller,F,37,32.7,18.8,6.0,13.9,43.0,2.9,7.5,38.4,3.9,4.6,85.9,8.2,2.1,0.9,0.9,2.2,,,,,,
51,Quincy Olivari,G,35,33.6,18.7,6.1,14.7,41.3,2.7,7.4,36.4,3.8,4.8,79.3,5.9,2.2,1.0,0.1,2.5,,,,,,
52,Isaiah Burke,G,31,34.5,18.7,6.5,14.3,45.1,3.0,7.1,42.0,2.8,3.9,71.9,2.3,2.8,1.5,0.3,2.8,,,,,,
53,Cameron Tyson,G,30,32.9,18.6,5.9,15.5,38.1,3.2,9.6,33.6,3.6,4.5,79.4,4.4,0.8,0.7,0.0,1.8,,,,,,
54,Tucker DeVries,G,34,33.1,18.6,6.2,14.0,44.6,2.6,6.9,37.3,3.5,4.2,83.8,5.7,1.8,1.1,0.2,1.5,,,,,,
55,Hunter Dickinson,C,34,32.7,18.5,7.2,12.8,56.0,0.7,1.7,42.1,3.4,4.7,72.7,9.0,1.5,0.5,1.8,2.0,,,,,,
56,Jaylen Forbes,G,31,36.5,18.5,5.6,13.2,42.5,2.8,7.3,38.8,4.4,5.1,86.1,5.0,1.7,1.9,0.4,1.5,,,,,,
57,Bryce Pope,G,29,35.5,18.4,6.8,15.7,43.1,1.9,6.1,31.6,2.9,3.7,78.7,4.4,1.5,1.2,0.4,1.4,,,,,,
58,DaRon Holmes,F,34,34.2,18.4,6.8,11.5,59.0,0.2,0.6,31.6,4.6,6.9,66.9,8.1,1.7,0.7,1.9,2.3,,,,,,
59,Zyon Pullin,G,29,33.9,18.3,7.0,14.3,48.6,0.9,2.3,39.4,3.5,4.5,77.1,4.4,4.2,0.9,0.1,2.4,,,,,,
60,Divant'e Moffitt,G,32,34.4,18.3,6.5,13.8,47.3,0.6,2.4,26.3,4.6,5.5,83.5,2.7,4.8,0.8,0.0,3.0,,,,,,
61,Zeke Mayo,G,32,35.7,18.2,6.2,14.5,42.6,2.6,7.0,36.9,3.2,3.6,90.4,6.2,3.4,1.0,0.2,3.0,,,,,,
