RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2011,Drafted?,Draft Pick,Draft Year
1,Jimmer Fredette,G,37,35.8,28.9,9.4,20.7,45.2,3.4,8.5,39.6,6.8,7.6,89.4,3.4,4.3,1.3,0.0,3.5,Yes,10.0,2011.0,Yes,10.0,2011.0
2,MarShon Brooks,G-F,32,36.5,24.6,8.6,17.8,48.3,2.1,6.2,34.0,5.3,6.8,77.2,7.0,2.5,1.5,1.2,3.1,Yes,25.0,2011.0,Yes,25.0,2011.0
3,Adrian Oliver,G,31,35.0,24.0,7.9,18.4,43.2,2.3,5.5,40.9,5.8,7.1,82.3,5.3,2.5,0.7,0.4,3.1,,,,,,
4,Andrew Goudelock,G,37,35.2,23.7,8.6,18.9,45.5,3.5,8.7,40.7,3.0,3.6,82.1,3.9,4.2,0.9,0.2,3.2,Yes,46.0,2011.0,Yes,46.0,2011.0
5,Kemba Walker,G,41,37.6,23.5,7.7,18.0,42.8,1.8,5.5,33.0,6.3,7.7,81.9,5.4,4.5,1.9,0.2,2.3,Yes,9.0,2011.0,Yes,9.0,2011.0
6,Andrew Gonzalez,F,30,37.0,22.9,6.8,16.4,41.5,1.9,5.0,38.9,7.3,9.0,81.5,5.5,2.2,1.6,0.5,3.5,,,,,,
7,Charles Jenkins,G,33,37.3,22.6,7.5,14.6,51.7,2.0,4.8,42.0,5.5,6.7,82.4,3.4,4.8,1.7,0.7,2.2,Yes,44.0,2011.0,Yes,44.0,2011.0
8,Xavier Silas,G,26,32.0,22.3,6.8,14.9,45.9,2.0,4.8,41.3,6.6,7.7,85.1,4.6,1.8,1.2,0.3,4.0,,,,,,
9,Anatoly Bose,G-F,28,34.1,22.1,6.4,16.1,39.4,2.4,7.4,32.5,7.0,8.8,79.3,5.9,2.2,1.4,0.2,3.4,,,,,,
10,CJ McCollum,G,31,34.5,21.8,6.9,17.3,39.9,1.7,5.3,31.5,6.4,7.5,84.5,7.8,2.1,2.5,0.7,2.8,Yes,10.0,2013.0,,,
11,Norris Cole,G,36,35.7,21.7,7.0,15.9,43.9,1.4,4.1,34.2,6.3,7.4,85.3,5.8,5.3,2.2,0.1,2.7,Yes,28.0,2011.0,Yes,28.0,2011.0
12,Klay Thompson,G,34,34.7,21.6,7.1,16.2,43.6,2.9,7.2,39.8,4.6,5.4,83.8,5.2,3.7,1.6,0.9,3.4,Yes,11.0,2011.0,Yes,11.0,2011.0
