RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2021,Drafted?,Draft Pick,Draft Year
1,Max Abmas,G,28,37.0,24.5,8.0,16.8,47.7,3.6,8.3,42.9,4.9,5.5,89.0,3.2,3.8,,,,,,
2,Luka Garza,C,31,31.5,24.1,9.1,16.4,55.3,1.4,3.2,44.0,4.5,6.4,70.9,8.7,1.7,Yes,52.0,2021.0,Yes,52.0,2021.0
3,Antoine Davis,G,22,38.5,24.0,8.1,19.1,42.4,3.8,10.1,37.2,4.0,4.4,91.7,2.9,4.8,,,,,,
4,Cam Thomas,G,29,34.0,23.0,7.0,17.2,40.6,2.3,7.2,32.5,6.7,7.6,88.2,3.4,1.4,Yes,27.0,2021.0,Yes,27.0,2021.0
5,Loren Cristian Jackson,G,23,35.3,22.3,7.1,17.6,40.5,2.5,7.6,33.1,5.5,6.2,88.1,3.1,6.1,,,,,,
6,T.J. Starks,G,20,33.6,21.7,7.8,17.2,45.5,1.9,5.2,36.9,4.2,5.4,78.5,3.0,3.0,,,,,,
7,Marcus Burk,G,18,34.2,21.7,7.7,15.9,48.1,2.5,6.1,40.9,3.8,4.8,80.2,3.7,2.2,,,,,,
8,Terry Taylor,G,27,37.0,21.6,8.4,16.2,52.1,0.9,3.2,27.9,3.9,4.9,79.4,11.1,1.6,,,,,,
9,Stanley Umude,G,25,32.3,21.6,7.7,16.4,47.1,1.6,4.4,35.5,4.6,5.8,79.9,7.0,3.0,,,,,,
10,Justin Jaworski,G,15,36.1,21.5,7.0,15.1,46.3,2.6,6.5,39.8,4.9,5.3,91.3,3.7,2.3,,,,,,
11,Obadiah Noel,G,18,34.1,21.4,6.7,13.7,48.6,1.6,4.9,32.6,6.4,8.6,75.3,4.8,3.3,,,,,,
12,Santi Aldama,PF,17,35.0,21.2,7.9,15.5,51.3,1.9,5.1,36.8,3.5,5.1,68.6,10.1,2.3,Yes,30.0,2021.0,Yes,30.0,2021.0
13,Davion Warren,G,25,34.9,21.2,7.5,16.4,45.5,1.9,6.4,30.2,4.3,5.7,75.5,6.3,3.0,,,,,,
14,Tristan Jarrett,G,18,31.8,21.1,6.7,15.9,42.0,2.4,6.7,35.8,5.3,6.3,84.2,5.3,1.4,,,,,,
15,Michael Flowers,G,28,37.2,21.0,6.7,15.3,43.8,3.1,8.1,38.8,4.5,5.5,81.8,4.6,3.6,,,,,,
16,Scotty Pippen Jr,G,22,31.8,20.8,6.2,14.5,42.8,2.0,5.5,35.8,6.5,7.6,85.0,2.9,4.9,,,,,,
17,John-Michael Wright,G,22,33.5,20.7,6.9,16.4,41.8,2.2,6.4,34.3,4.8,6.2,77.9,5.2,3.2,,,,,,
18,Jamir Harris,G,10,38.7,20.5,6.7,14.2,47.2,3.9,8.9,43.8,3.2,4.2,76.2,2.8,3.5,,,,,,
19,Darrion Trammell,G,23,35.8,20.5,6.4,15.6,41.2,2.0,5.7,34.8,5.6,6.5,86.6,3.8,5.3,,,,,,
20,Cade Cunningham,G,27,35.4,20.1,6.5,14.8,43.8,2.3,5.7,40.0,4.9,5.8,84.6,6.2,3.5,Yes,1.0,2021.0,Yes,1.0,2021.0
21,Ayo Dosunmu,G,28,35.1,20.1,7.5,15.4,48.8,1.1,2.9,39.0,4.0,5.1,78.3,6.3,5.3,Yes,38.0,2021.0,Yes,38.0,2021.0
22,Phlandrous Fleming Jr,G,18,34.2,20.1,6.6,16.6,39.5,2.6,8.2,32.0,4.4,5.4,80.6,7.4,2.3,,,,,,
23,Jhivvan Jackson,G,25,33.2,19.9,7.3,15.6,46.8,2.6,7.0,36.9,2.8,3.5,78.4,4.2,3.4,,,,,,
24,Isiaih Mosley,G,24,33.7,19.8,7.0,13.9,50.5,1.4,3.7,38.6,4.4,5.2,84.7,6.3,3.1,,,,,,
25,Julian Champagnie,G,25,32.9,19.8,6.6,15.3,43.3,2.4,6.3,38.0,4.1,4.6,88.7,7.4,1.3,,,,,,
26,Matt Lewis,G,18,32.7,19.7,6.1,12.9,47.0,2.4,6.2,38.4,5.2,6.9,75.0,4.7,3.7,,,,,,
27,Taevion Kinsey,G,22,37.7,19.5,7.5,14.1,53.2,0.9,2.1,41.3,3.7,4.5,81.8,6.2,3.0,,,,,,
28,Richard Washington,G,16,32.1,19.5,6.7,16.7,40.1,2.6,7.5,34.2,3.6,4.5,79.2,5.2,2.2,,,,,,
29,Bones Hyland,G,24,31.9,19.5,6.3,14.2,44.7,2.9,7.8,37.1,3.9,4.5,86.2,4.7,2.1,Yes,26.0,2021.0,Yes,26.0,2021.0
30,Marcus Carr,G,29,35.8,19.4,6.0,15.6,38.5,2.1,6.5,31.7,5.3,6.7,79.9,4.0,4.9,,,,,,
31,Jalen Ray,G,23,37.2,19.3,6.7,15.8,42.0,2.8,7.5,37.0,3.3,3.9,84.3,3.3,3.3,,,,,,
32,DeVante' Jones,G,26,32.8,19.3,6.4,13.2,48.7,1.9,5.2,36.8,4.6,5.3,86.2,7.2,2.9,,,,,,
